# r_max, E0
4 -0.483258129256609
4.5 -0.492199667836211
5 -0.49641321192593
5.5 -0.498375693523194
6 -0.499275820125851
6.5 -0.499681909514602
7 -0.499862308433318
7.5 -0.499941123496857
8 -0.499975207355715
8.5 -0.499989767962371
9 -0.499995934834002
9.5 -0.499998528502173
10 -0.499999600220865
10.5 -0.500000043164119
11 -0.500000227395134
11.5 -0.500000286946384
12 -0.50000031643443
