N	MC est. error	MC actual error	Value
136	2.929790E-001	3.698500E-001	2.714202339
137	3.755286E-001	4.605577E-001	3.544610070
138	3.449249E-001	1.344405E-001	2.949611916
139	3.354468E-001	5.411711E-001	3.625223474
141	3.235122E-001	1.256183E-001	3.209670719
142	3.236161E-001	1.186187E-001	2.965433689
143	3.462796E-001	2.334213E-001	3.317473644
145	3.108702E-001	2.773893E-001	2.806663037
146	3.119966E-001	1.285905E-001	3.212642898
147	3.278593E-001	2.543819E-001	3.338434258
149	3.140230E-001	3.365386E-001	2.747513746
150	3.122316E-001	2.153864E-002	3.062513734
151	3.130803E-001	4.188169E-002	3.042170685
153	3.068913E-001	1.153655E-001	2.968686875
154	3.309564E-001	2.166258E-001	3.300678199
156	3.024059E-001	1.805580E-001	2.903494410
157	2.702735E-001	4.170686E-001	2.666983813
158	3.306570E-001	2.035680E-004	3.084255945
160	3.174368E-001	2.411930E-001	3.325245327
161	3.457404E-001	6.282867E-001	3.712339115
163	3.149893E-001	5.169768E-001	3.601029179
164	2.595173E-001	7.832162E-001	2.300836141
166	3.406785E-001	4.634187E-001	3.547471065
167	2.521411E-001	4.279795E-001	2.656072849
169	2.945720E-001	1.404515E-002	3.070007229
171	3.213984E-001	3.024422E-001	3.386494610
172	2.575358E-001	6.136529E-001	2.470399452
174	2.872372E-001	1.827747E-002	3.065774909
175	3.072276E-001	3.556643E-001	3.439716671
177	3.061592E-001	1.052252E-001	2.978827171
179	3.017928E-001	2.575125E-001	3.341564859
180	2.948725E-001	2.246436E-001	3.308695947
182	2.313206E-001	4.636610E-001	2.620391343
184	2.938565E-001	2.384419E-001	3.322494324
185	2.872260E-001	2.224247E-001	3.306477115
187	3.064510E-001	6.541724E-002	3.149469613
189	3.201275E-001	3.570418E-001	3.441094215
191	2.548465E-001	1.521460E-001	2.931906401
192	3.044638E-001	3.885509E-001	3.472603283
194	2.724040E-001	6.934656E-002	3.153398937
196	2.909252E-001	2.556868E-001	3.339739131
198	3.028013E-001	6.982151E-002	3.153873891
200	2.470839E-001	3.771078E-001	2.706944616
201	2.694445E-001	2.609447E-001	3.344997059
203	2.666437E-001	1.687263E-001	2.915326030
205	2.586029E-001	7.296941E-002	3.011082971
207	2.781223E-001	4.720392E-002	3.131256299
209	2.400208E-001	4.567197E-001	2.627332702
211	2.828366E-001	1.750897E-001	3.259142030
213	2.443454E-001	3.027313E-001	2.781321112
215	2.416563E-001	5.443340E-001	2.539718393
217	2.623957E-001	1.352797E-001	3.219332097
219	2.423017E-001	4.022159E-001	2.681836448
221	2.645773E-001	7.286631E-002	3.011186068
223	2.614151E-001	1.699446E-001	3.253997011
225	2.597200E-001	3.418266E-002	3.118235036
227	2.522825E-001	1.231209E-001	2.960931513
229	2.730835E-001	2.708533E-001	3.354905680
231	2.488459E-001	2.926685E-002	3.054785531
233	2.530905E-001	1.232398E-001	2.960812601
236	2.348794E-001	2.046473E-001	2.879405110
238	2.501335E-001	4.067004E-002	3.124722418
240	2.490430E-001	5.443396E-002	3.138486342
242	2.447612E-001	2.639848E-002	3.057653894
244	2.698411E-001	2.223183E-001	3.306370712
247	2.522789E-001	2.648693E-001	3.348921716
249	2.209475E-001	3.330449E-001	2.751007445
251	2.250631E-001	3.176134E-001	2.766438975
254	2.478414E-001	8.721241E-002	2.996839963
256	2.298504E-001	3.250607E-001	2.758991648
258	2.588718E-001	4.035458E-002	3.043697792
261	2.486697E-001	3.485946E-002	3.118911841
263	2.473247E-001	1.762979E-001	3.260350254
265	2.425010E-001	1.394877E-001	3.223540109
268	2.316920E-001	3.868129E-002	3.045371085
270	2.471188E-001	1.448644E-001	3.228916736
273	2.131245E-001	2.389660E-001	2.845086356
275	2.317254E-001	1.410114E-001	2.943040979
278	2.437006E-001	3.026337E-001	3.386686118
281	2.188601E-001	2.285018E-001	2.855550534
283	2.286351E-001	1.214890E-001	3.205541334
286	2.303073E-001	1.958570E-002	3.064466680
288	2.261507E-001	6.674530E-002	3.150797679
291	2.336008E-001	2.601298E-003	3.086653675
294	2.390396E-001	2.389497E-001	3.323002082
296	2.129434E-001	7.756528E-002	3.006487093
299	2.307414E-001	1.563907E-001	3.240443072
302	2.467643E-001	2.560516E-001	3.340103978
305	2.247846E-001	1.096578E-001	2.974394534
308	2.062736E-001	1.907976E-001	2.893254801
310	2.117918E-001	1.731603E-001	2.910892090
313	2.362531E-001	4.400413E-001	3.524093695
316	2.037096E-001	9.645242E-002	2.987599960
319	2.136522E-001	1.400051E-001	2.944047261
322	2.126819E-001	1.310896E-001	2.952962774
325	2.126002E-001	1.845531E-001	2.899499286
328	2.166002E-001	8.279887E-002	3.166851245
