N	MC est. error	MC actual error	Value
2327	3.347422E-002	3.846751E-002	3.180060
2328	3.359115E-002	3.022865E-002	3.171821
2329	3.337082E-002	4.432405E-002	3.185917
2330	3.356608E-002	3.093954E-002	3.172532
2331	3.357926E-002	2.957852E-002	3.171171
2332	3.382061E-002	1.278127E-002	3.154374
2333	3.363098E-002	2.514545E-002	3.166738
2334	3.379551E-002	1.350589E-002	3.155099
2335	3.350356E-002	3.271141E-002	3.174304
2336	3.372016E-002	1.765392E-002	3.159247
2337	3.464886E-002	4.873857E-002	3.092854
2338	3.411541E-002	1.071156E-002	3.130881
2339	3.345370E-002	3.412346E-002	3.175716
2340	3.312882E-002	5.498854E-002	3.196581
2341	3.415025E-002	1.472379E-002	3.126869
2342	3.418576E-002	1.776686E-002	3.123826
2343	3.445705E-002	3.787947E-002	3.103713
2344	3.483378E-002	6.650733E-002	3.075085
2345	3.385673E-002	3.823125E-003	3.145416
2346	3.432561E-002	2.991320E-002	3.111679
2347	3.350734E-002	2.670730E-002	3.168300
2348	3.401438E-002	8.713608E-003	3.132879
2349	3.353306E-002	2.400973E-002	3.165602
2350	3.413342E-002	1.818840E-002	3.123404
2351	3.378203E-002	6.004114E-003	3.147597
2352	3.376961E-002	6.366530E-003	3.147959
2353	3.411980E-002	1.877072E-002	3.122822
2354	3.389126E-002	3.104973E-003	3.138488
2355	3.375695E-002	5.753419E-003	3.147346
2356	3.405866E-002	1.595598E-002	3.125637
2357	3.294594E-002	5.908618E-002	3.200679
2358	3.364606E-002	1.192728E-002	3.153520
2359	3.455526E-002	5.384361E-002	3.087749
2360	3.381689E-002	9.146875E-004	3.140678
2361	3.450766E-002	5.137664E-002	3.090216
2362	3.412604E-002	2.389579E-002	3.117697
2363	3.394802E-002	1.167306E-002	3.129920
2364	3.349794E-002	1.915185E-002	3.160745
2365	3.394711E-002	1.262859E-002	3.128964
2366	3.383922E-002	5.497979E-003	3.136095
2367	3.375469E-002	6.329153E-005	3.141529
2368	3.304525E-002	4.759654E-002	3.189189
2369	3.363311E-002	7.415367E-003	3.149008
2370	3.412049E-002	2.766860E-002	3.113924
2371	3.303438E-002	4.693539E-002	3.188528
2372	3.362063E-002	6.805323E-003	3.148398
2373	3.368098E-002	2.107304E-003	3.143700
2374	3.376477E-002	4.271676E-003	3.137321
2375	3.348638E-002	1.461787E-002	3.156211
2376	3.294808E-002	5.032654E-002	3.191919
2377	3.363200E-002	3.548280E-003	3.145141
2378	3.294947E-002	4.932408E-002	3.190917
2379	3.351076E-002	1.099247E-002	3.152585
2380	3.361943E-002	2.945162E-003	3.144538
2381	3.336422E-002	2.010411E-002	3.161697
2382	3.380922E-002	1.144992E-002	3.130143
2383	3.379701E-002	1.108489E-002	3.130508
2384	3.431325E-002	4.931077E-002	3.092282
2385	3.370170E-002	5.324310E-003	3.136268
2386	3.397030E-002	2.507966E-002	3.116513
2387	3.360601E-002	4.266175E-004	3.142019
2388	3.364146E-002	2.564178E-003	3.139028
2389	3.304428E-002	3.798039E-002	3.179573
2390	3.392149E-002	2.360102E-002	3.117992
2391	3.395536E-002	2.657802E-002	3.115015
2392	3.439276E-002	5.965285E-002	3.081940
2393	3.269221E-002	5.941027E-002	3.201003
2394	3.371012E-002	1.043142E-002	3.131161
2395	3.324379E-002	2.166413E-002	3.163257
2396	3.275852E-002	5.373289E-002	3.195326
2397	3.314630E-002	2.736855E-002	3.168961
2398	3.420901E-002	4.901551E-002	3.092577
2399	3.406269E-002	3.863309E-002	3.102960
2400	3.281196E-002	4.840735E-002	3.190000
2401	3.338894E-002	8.761366E-003	3.150354
2402	3.315969E-002	2.410260E-002	3.165695
2403	3.405906E-002	4.046906E-002	3.101124
2404	3.411390E-002	4.508683E-002	3.096506
2405	3.353036E-002	3.131115E-003	3.138462
2406	3.372759E-002	1.773563E-002	3.123857
2407	3.405532E-002	4.229893E-002	3.099294
2408	3.238518E-002	7.269306E-002	3.214286
2409	3.334060E-002	8.262058E-003	3.149855
2410	3.354048E-002	6.322944E-003	3.135270
2411	3.380458E-002	2.587304E-002	3.115720
2412	3.358618E-002	1.058104E-002	3.131012
2413	3.380322E-002	2.679779E-002	3.114795
2414	3.291875E-002	3.487793E-002	3.176471
2415	3.285773E-002	3.853157E-002	3.180124
2416	3.320941E-002	1.403649E-002	3.155629
2417	3.245865E-002	6.403416E-002	3.205627
2418	3.367509E-002	2.000456E-002	3.121588
2419	3.395520E-002	4.113792E-002	3.100455
2420	3.272450E-002	4.518421E-002	3.186777
2421	3.343225E-002	4.046185E-003	3.137546
2422	3.320935E-002	1.117366E-002	3.152766
2423	3.431947E-002	7.101898E-002	3.070574
2424	3.306669E-002	2.012352E-002	3.161716
2425	3.356873E-002	1.581946E-002	3.125773
2426	3.337279E-002	2.268663E-003	3.139324
2427	3.349923E-002	1.180279E-002	3.129790
2428	3.337224E-002	3.207151E-003	3.138386
2429	3.347547E-002	1.108627E-002	3.130506
2430	3.277872E-002	3.700817E-002	3.178601
2431	3.312647E-002	1.266485E-002	3.154258
2432	3.357634E-002	1.988213E-002	3.121711
2433	3.365446E-002	2.609738E-002	3.115495
2434	3.382022E-002	3.888107E-002	3.102712
2435	3.328943E-002	7.302306E-004	3.140862
2436	3.464007E-002	1.038258E-001	3.037767
2437	3.272100E-002	3.772618E-002	3.179319
2438	3.379472E-002	3.904959E-002	3.102543
2439	3.272186E-002	3.675913E-002	3.178352
2440	3.263732E-002	4.201390E-002	3.183607
2441	3.391167E-002	4.941732E-002	3.092175
