0 0
3,80071044604633E-05 0
0,00537031333309484 1,54875282508344E-07
0,00540359404535838 1,57772600791795E-07
0,00543687477732861 1,60705831135662E-07
0,00547015552912837 1,63675194786818E-07
0,00550343630088055 1,66680912993456E-07
0,00553671709270799 1,69723207005104E-07
0,00556999790473356 1,7280229807263E-07
0,00560327873708012 1,7591840744825E-07
0,00563655958987054 1,79071756385539E-07
0,00566984046322768 1,82262566139435E-07
0,00570312135727439 1,8549105796625E-07
0,00573640227213355 1,88757453123677E-07
0,00576968320792801 1,920619728708E-07
0,00580296416478064 1,954048384681E-07
0,0058362451428143 1,98786271177463E-07
0,00586952614215185 2,0220649226219E-07
0,00590280716291616 2,05665722987005E-07
0,00593608820523009 2,09164184618061E-07
0,00596936926921649 2,12702098422951E-07
0,00600265035499825 2,16279685670713E-07
0,00603593146269821 2,19897167631842E-07
0,00606921259243924 2,23554765578294E-07
0,00610249374434421 2,27252700783499E-07
0,00613577491853597 2,30991194522364E-07
0,0061690561151374 2,34770468071284E-07
0,00620233733427135 2,38590742708152E-07
0,0062356185760607 2,42452239712362E-07
0,0062688998406283 2,46355180364821E-07
0,00630218112809701 2,50299785947959E-07
0,00633546243858971 2,54286277745729E-07
0,00636874377222925 2,58314877043627E-07
0,0064020251291385 2,62385805128689E-07
0,00643530650944033 2,66499283289505E-07
0,00646858791325759 2,70655532816228E-07
0,00650186934071316 2,74854775000579E-07
0,0065351507919299 2,79097231135857E-07
0,00656843226703067 2,83383122516945E-07
0,00660171376613834 2,87712670440322E-07
0,00663499528937577 2,92086096204067E-07
0,00666827683686583 2,96503621107872E-07
0,00670155840873138 3,00965466453043E-07
0,00673484000509529 3,05471853542518E-07
0,00676812162608042 3,10023003680864E-07
0,00680140327180964 3,14619138174295E-07
0,00683468494240582 3,19260478330675E-07
0,00686796663799181 3,23947245459526E-07
0,00690124835869049 3,28679660872037E-07
0,00693453010462473 3,33457945881076E-07
0,00696781187591737 3,3828232180119E-07
0,00700109367269131 3,43153009948622E-07
0,00703437549506939 3,48070231641312E-07
0,00706765734317449 3,53034208198909E-07
0,00710093921712947 3,5804516094278E-07
0,0071342211170572 3,63103311196015E-07
0,00716750304308054 3,68208880283436E-07
0,00720078499532237 3,73362089531607E-07
0,00723406697390554 3,78563160268842E-07
0,00726734897895293 3,8381231382521E-07
0,0073006310105874 3,89109771532547E-07
0,00733391306893182 3,94455754724461E-07
0,00736719515410906 3,99850484736345E-07
0,00740047726624198 4,05294182905377E-07
0,00743375940545346 4,10787070570538E-07
0,00746704157186635 4,16329369072612E-07
0,00750032376560353 4,21921299754198E-07
0,00753360598678786 4,27563083959718E-07
0,00756688823554222 4,33254943035425E-07
0,00760017051198946 4,3899709832941E-07
0,00763345281625247 4,44789771191613E-07
0,0076667351484541 4,50633182973827E-07
0,00770001750871722 4,5652755502971E-07
0,00773329989716471 4,6247310871479E-07
0,00776658231391943 4,68470065386476E-07
0,00779986475910425 4,74518646404066E-07
