0.00000 3.04159 0.00000
0.10000 3.03911 -0.04971
0.20000 3.03161 -0.10064
0.30000 3.01886 -0.15527
0.40000 3.00035 -0.21620
0.50000 2.97531 -0.28623
0.60000 2.94269 -0.36852
0.70000 2.90108 -0.46668
0.80000 2.84869 -0.58487
0.90000 2.78328 -0.72787
1.00000 2.70211 -0.90106
1.10000 2.60187 -1.11027
1.20000 2.47866 -1.36130
1.30000 2.32805 -1.65890
1.40000 2.14526 -2.00496
1.50000 1.92557 -2.39540
1.60000 1.66516 -2.81598
1.70000 1.36232 -3.23764
1.80000 1.01911 -3.61446
1.90000 0.64286 -3.88829
2.00000 0.24677 -4.00344
2.10000 -0.15140 -3.92725
2.20000 -0.53242 -3.66434
2.30000 -0.87932 -3.25359
2.40000 -1.18006 -2.75037
2.50000 -1.42807 -2.20670
2.60000 -1.62130 -1.65960
2.70000 -1.76056 -1.12906
2.80000 -1.84789 -0.62144
2.90000 -1.88553 -0.13438
3.00000 -1.87523 0.33867
3.10000 -1.81803 0.80487
3.20000 -1.71433 1.26883
3.30000 -1.56436 1.72956
3.40000 -1.36884 2.17736
3.50000 -1.13000 2.59147
3.60000 -0.85272 2.93999
3.70000 -0.54547 3.18445
3.80000 -0.22049 3.28963
3.90000 0.10713 3.23570
4.00000 0.42144 3.02621
4.10000 0.70802 2.68670
4.20000 0.95570 2.25492
4.30000 1.15721 1.76898
4.40000 1.30871 1.25912
4.50000 1.40890 0.74502
4.60000 1.45793 0.23724
4.70000 1.45672 -0.25947
4.80000 1.40650 -0.74230
4.90000 1.30886 -1.20679
5.00000 1.16605 -1.64376
5.10000 0.98155 -2.03730
5.20000 0.76079 -2.36475
5.30000 0.51169 -2.59958
5.40000 0.24479 -2.71741
5.50000 -0.02738 -2.70338
5.60000 -0.29148 -2.55761
5.70000 -0.53501 -2.29544
5.80000 -0.74754 -1.94258
5.90000 -0.92147 -1.52792
6.00000 -1.05194 -1.07746
6.10000 -1.13644 -0.61130
6.20000 -1.17416 -0.14366
6.30000 -1.16547 0.31525
6.40000 -1.11169 0.75653
6.50000 -1.01508 1.17005
6.60000 -0.87905 1.54248
6.70000 -0.70852 1.85684
6.80000 -0.51026 2.09380
6.90000 -0.29296 2.23508
7.00000 -0.06687 2.26798
7.10000 0.15691 2.18925
7.20000 0.36750 2.00650
7.30000 0.55529 1.73627
7.40000 0.71256 1.39998
7.50000 0.83381 1.01954
7.60000 0.91564 0.61442
7.70000 0.95641 0.20063
7.80000 0.95592 -0.20872
7.90000 0.91521 -0.60195
8.00000 0.83646 -0.96718
8.10000 0.72314 -1.29118
8.20000 0.58009 -1.55929
8.30000 0.41365 -1.75646
8.40000 0.23160 -1.86971
8.50000 0.04279 -1.89087
8.60000 -0.14346 -1.81889
8.70000 -0.31810 -1.66036
8.80000 -0.47308 -1.42824
8.90000 -0.60185 -1.13921
9.00000 -0.69961 -0.81092
9.10000 -0.76328 -0.46000
9.20000 -0.79135 -0.10125
9.30000 -0.78371 0.25219
9.40000 -0.74150 0.58802
9.50000 -0.66710 0.89407
9.60000 -0.56410 1.15781
9.70000 -0.43736 1.36676
9.80000 -0.29295 1.50961
9.90000 -0.13793 1.57791
10.00000 0.02001 1.56782
