# Computed b_i and c_i values from QuadraticSpline class
i	b_i	c_i
0	0.693147180559945	0
1	0.117783035656384	-0.287682072451781
2	0.457581109247178	0.169899036795397
3	-0.0112940066187585	-0.234437557932968
4	0.375937120206668	0.193615563412713
5	-0.0676357605521513	-0.22178644037941
6	0.334698545801196	0.201167153176674
7	-0.0991324744884287	-0.216915510144812
8	0.309853505804081	-0.204492990146255
