# x	spline(x)	splineInt(x)	splineDeriv(x)
0	0	0	0.795393675633073
0.1	0.078516902612576	0.00394288621314099	0.774944376618447
0.2	0.154988875323689	0.0156352161924665	0.754495077603822
0.3	0.22941591813334	0.0348724969478301	0.734045778589196
0.4	0.301798031041529	0.0614502354890858	0.713596479574571
0.5	0.372135214048255	0.0951639388260871	0.693147180559945
0.6	0.440427467153518	0.135809113968688	0.67269788154532
0.7	0.506674790357318	0.183181267926742	0.652248582530694
0.8	0.570877183659657	0.237075907710103	0.631799283516069
0.9	0.633034647060532	0.297288540328624	0.611349984501443
1	0.693147180559945	0.36361467279216	0.590900685486818
1.1	0.75038289333484	0.435822082416463	0.553813570011087
1.2	0.803909894562163	0.513567627740876	0.516726454535356
1.3	0.853728184241912	0.596480437610643	0.479639339059626
1.4	0.899837762374088	0.684189640871006	0.442552223583895
1.5	0.942238628958691	0.776324366367208	0.405465108108164
1.6	0.980930783995721	0.872513742944492	0.368377992632434
1.7	1.01591422748518	0.9723868994481	0.331290877156703
1.8	1.04718895942706	1.07557296472328	0.294203761680972
1.9	1.07475497982137	1.18170106761526	0.257116646205242
2	1.09861228866811	1.2904003369693	0.220029530729511
2.1	1.12129176715828	1.401384264337	0.233560039073965
2.2	1.1453242964829	1.51470379209544	0.247090547418419
2.3	1.17070987664197	1.63049422532806	0.260621055762873
2.4	1.19744850763548	1.74889086911831	0.274151564107327
2.5	1.22554018946343	1.87002902854964	0.287682072451781
2.6	1.25498492212583	1.99404400870548	0.301212580796235
2.7	1.28578270562268	2.12107111466928	0.314743089140689
2.8	1.31793353995397	2.2512456515245	0.328273597485143
2.9	1.35143742511971	2.38470292435456	0.341804105829597
3	1.38629436111989	2.52157823824292	0.35533461417405
3.1	1.4205059119087	2.66194028373816	0.328896401602082
3.2	1.45207364144031	2.80559129324942	0.302458189030114
3.3	1.48099754971472	2.95226688465098	0.276019976458146
3.4	1.50727763673194	3.10170267581712	0.249581763886177
3.5	1.53091390249196	3.25363428462213	0.223143551314209
3.6	1.55190634699478	3.40779732894028	0.196705338742241
3.7	1.5702549702404	3.56392742664585	0.170267126170273
3.8	1.58595977222883	3.72176019561312	0.143828913598305
3.9	1.59902075296007	3.88103125371637	0.117390701026337
4	1.6094379124341	4.04147621882989	0.0909524884543694
4.1	1.61944685196293	4.20290522887168	0.109226302122286
4.2	1.63128317285856	4.3654265019347	0.127500115790203
4.3	1.64494687512097	4.52922277615562	0.145773929458121
4.4	1.66043795875018	4.69447678967112	0.164047743126038
4.5	1.67775642374618	4.86137128061788	0.182321556793955
4.6	1.69690227010897	5.03008898713258	0.200595370461872
4.7	1.71787549783856	5.2008126473519	0.218869184129789
4.8	1.74067610693493	5.37372499941252	0.237142997797706
4.9	1.7653040973981	5.54900878145111	0.255416811465623
5	1.79175946922805	5.72684673160436	0.27369062513354
5.1	1.81793313228835	5.9073512850044	0.249782636072284
5.2	1.84171599644251	6.09035366476516	0.225874647011028
5.3	1.86310806169055	6.27561479099603	0.201966657949772
5.4	1.88210932803247	6.4628955838064	0.178058668888515
5.5	1.89871979546825	6.65195696330565	0.154150679827259
5.6	1.91293946399792	6.84255984960318	0.130242690766003
5.7	1.92476833362145	7.03446516280836	0.106334701704746
5.8	1.93420640433887	7.2274338230306	0.0824267126434902
5.9	1.94125367615015	7.42122675037926	0.0585187235822338
5.99999999999999	1.94591014905531	7.61560486496375	0.0346107345209775
6.09999999999999	1.95036042908845	7.81040190709459	0.0543948661416844
6.19999999999999	1.95678912228365	8.00574289788684	0.0741789977623936
6.29999999999999	1.96519622864092	8.20182567865672	0.0939631293831027
6.39999999999999	1.97558174816027	8.39884809072043	0.113747261003812
6.49999999999999	1.98794568084169	8.59700797539418	0.133531392624521
6.59999999999999	2.00228802668517	8.79650317399417	0.15331552424523
6.69999999999999	2.01860878569073	8.99753152783661	0.173099655865939
6.79999999999999	2.03690795785836	9.20029087823772	0.192883787486649
6.89999999999999	2.05718554318806	9.40497906651369	0.212667919107358
6.99999999999999	2.07944154167983	9.61179393398073	0.232452050728067
7.09999999999999	2.10154005660192	9.82086212539733	0.209518247713734
7.19999999999999	2.12134519122258	10.0320254992911	0.186584444699397
7.29999999999999	2.1388569455418	10.2450547176318	0.16365064168506
7.39999999999999	2.15407531955959	10.4597204423894	0.140716838670723
7.49999999999999	2.16700031327595	10.6757933355337	0.117783035656386
7.59999999999999	2.17763192669087	10.8930440590345	0.0948492326420493
7.69999999999999	2.18597015980436	11.1112432748618	0.0719154296277124
7.79999999999999	2.19201501261641	11.3301616449853	0.0489816266133755
7.89999999999999	2.19576648512703	11.549569831375	0.0260478235990386
7.99999999999999	2.19722457733622	11.7692384960007	0.0031140205847017
8.09999999999999	2.19855844434542	11.9890106060023	0.0235633195993217
8.19999999999999	2.20193724125608	12.2090183491998	0.0440126186139472
8.29999999999999	2.20736096806821	12.4294662185835	0.0644619176285726
8.39999999999999	2.2148296247818	12.6505587071435	0.084911216643198
8.49999999999999	2.22434321139685	12.8725003078699	0.105360515657823
8.59999999999999	2.23590172791336	13.0954955137529	0.125809814672449
8.69999999999999	2.24950517433134	13.3197488177827	0.146259113687074
8.79999999999998	2.26515355065078	13.5454647129492	0.1667084127017
8.89999999999998	2.28284685687168	13.7728476922429	0.187157711716325
8.99999999999998	2.30258509299404	14.0021022486536	0.207607010730951
