# Computed b_i and c_i values from QuadraticSpline class
i	b_i	c_i
0	0.841470984807897	0
1	-0.705818100772326	-0.773644542790111
2	-0.830536736759303	-0.0623593179934884
3	-0.965308269976288	-0.0673857666084926
4	0.561064711265868	0.763186490621078
5	0.797952841662558	0.118444065198345
6	1.07485135217287	0.138449255255157
7	-0.410108056363687	-0.742479704268279
8	-0.744371466399564	0.167131705017938
