# x	spline(x)	splineInt(x)	splineDeriv(x)
0	0	0	1.15086289138785
0.1	0.114935426247397	0.00575054288465455	1.14633700464621
0.2	0.228965675146467	0.0229569126712019	1.13275934442131
0.3	0.341185569348883	0.0514833327573929	1.11012991071313
0.4	0.450689931506318	0.0911035088061458	1.07844870352168
0.5	0.556573584270444	0.141500628745546	1.03771572284696
0.6	0.657931350292934	0.202267362768847	0.987930968688972
0.7	0.753858052225462	0.272905863334467	0.92909444104771
0.8	0.843448512719701	0.352827765165996	0.861206139923178
0.9	0.925797554427322	0.441354185252187	0.784266065315374
1	1	0.537715722846962	0.6982742172243
1.1	1.06547006300011	0.641060444242179	0.61281232297096
1.2	1.12289952063282	0.750541715268071	0.537462109876361
1.3	1.173299541014	0.865406033793692	0.472223577940503
1.4	1.21768129225954	0.985001014499683	0.417096727163385
1.5	1.25705594248531	1.10877538887827	0.372081557545009
1.6	1.29243465980717	1.23627900523328	0.337178069085373
1.7	1.324828612341	1.36716282868011	0.312386261784477
1.8	1.35524896820269	1.50117894114574	0.297706135642323
1.9	1.38470689550809	1.63818054136877	0.293137690658909
2	1.4142135623731	1.77812194489935	0.298680926834236
2.1	1.44457776982884	1.92105352492212	0.308264831626575
2.2	1.47579885056759	2.06706606130788	0.315818392494198
2.3	1.50767377019686	2.21623508966532	0.321341609437104
2.4	1.53999949432418	2.36861584216386	0.324834482455294
2.5	1.57257298855709	2.52424324753368	0.326297011548767
2.6	1.60519121850311	2.68313193106571	0.325729196717524
2.7	1.63765114976977	2.84527621461166	0.323131037961565
2.8	1.6697497479646	3.01065011658394	0.318502535280889
2.9	1.70128397869513	3.17920735195577	0.311843688675496
3	1.73205080756888	3.35088133226107	0.303154498145387
3.1	1.76189435576554	3.52558634448387	0.293849630855363
3.2	1.79084736675345	3.70323051884056	0.285343753970222
3.3	1.81898973957308	3.88372879656228	0.277636867489965
3.4	1.84640137326494	4.06700410878425	0.270728971414593
3.5	1.8731621668695	4.2529873765457	0.264620065744105
3.6	1.89935201942725	4.44161751078992	0.259310150478501
3.7	1.92505082997869	4.63284141236427	0.254799225617782
3.8	1.95033849756431	4.82661397202013	0.251087291161946
3.9	1.97529492122458	5.02289807041295	0.248174347110995
4	2	5.22166457810222	0.246060393464928
4.1	2.02451889630056	5.42289198713571	0.244303331308893
4.2	2.04885782601429	5.6265623584761	0.242461061728037
4.3	2.07300826839868	5.83265726942759	0.24053358472236
4.4	2.09696170271126	6.04115744522011	0.238520900291862
4.5	2.12070960820956	6.25204275900936	0.236423008436543
4.6	2.14424346415108	6.46529223187679	0.234239909156404
4.7	2.16755474979334	6.6808840328296	0.231971602451443
4.8	2.19063494439387	6.89879547880074	0.229618088321662
4.9	2.21347552721018	7.1190030346489	0.22717936676706
5	2.23606797749979	7.34148231315855	0.224655437787637
5.1	2.25840679363492	7.56620815051775	0.222136874824451
5.2	2.28049855044659	7.79315543657475	0.21971425131856
5.3	2.30235284188054	8.02229994509448	0.217387567269964
5.4	2.32397926188249	8.25361840923645	0.215156822678664
5.5	2.34538740439818	8.48708852155476	0.213022017544658
5.6	2.36658686337333	8.72268893399807	0.210983151867948
5.7	2.38758723275368	8.9603992579096	0.209040225648533
5.8	2.40839810648495	9.20020006402717	0.207193238886413
5.9	2.42902907851287	9.44207288248315	0.205442191581588
5.99999999999999	2.44948974278318	9.68600020280449	0.203787083734059
6.09999999999999	2.46978860442578	9.93196544669232	0.20219525086943
6.19999999999999	2.48992981330735	10.1799526685976	0.200634028513306
6.29999999999999	2.50991643047873	10.4299462562968	0.199103416665689
6.39999999999999	2.52975151699077	10.6819309036714	0.197603415326577
6.49999999999999	2.54943813389432	10.935891610708	0.196134024495972
6.59999999999999	2.56897934224024	11.1918136834983	0.194695244173872
6.69999999999999	2.58837820307938	11.4496827342391	0.193287074360278
6.79999999999999	2.60763777746258	11.7094846812323	0.19190951505519
6.89999999999999	2.6267611264407	11.9712057488848	0.190562566258608
6.99999999999999	2.64575131106459	12.2348324677087	0.189246227970532
7.09999999999999	2.66461081696083	12.5003516599353	0.187943237463114
7.19999999999999	2.68333982805897	12.7677502812742	0.186636332008507
7.29999999999999	2.70193795286429	13.0370152626707	0.185325511606712
7.39999999999999	2.72040479988207	13.3081334959208	0.184010776257727
7.49999999999999	2.7387399776176	13.581091833671	0.182692125961554
7.59999999999999	2.75694309457615	13.8558770894184	0.181369560718191
7.69999999999999	2.775013759263	14.1324760375106	0.18004308052764
7.79999999999999	2.79295158018343	14.4108754131455	0.178712685389899
7.89999999999999	2.81075616584274	14.6910619123719	0.17737837530497
7.99999999999999	2.82842712474619	14.9730221920888	0.176040150272852
8.09999999999999	2.8459663642857	15.2567429275182	0.174766976892425
8.19999999999999	2.86338498739969	15.5422114443985	0.173627821762569
8.29999999999999	2.88069639591323	15.8294163511782	0.172622684883285
8.39999999999999	2.89791399165137	16.1183475964886	0.171751566254571
8.49999999999999	2.91505117643916	16.4089964691434	0.17101446587643
8.59999999999999	2.93212135210167	16.7013555981389	0.170411383748859
8.69999999999999	2.94913792046395	16.9954189526538	0.169942319871859
8.79999999999998	2.96611428335106	17.2911818420492	0.169607274245431
8.89999999999998	2.98306384258806	17.588640915869	0.169406246869574
8.99999999999998	3	17.8877941638393	0.169339237744289
